approach,agents,treasures_found,total_treasures,agents_alive,execution_time,success,bomb_ratio,group_type
C,4,4,0,0,15.709149599075317,False,20.0,heterogeneous
C,4,1,0,0,4.693281650543213,False,70.0,heterogeneous
C,4,2,0,0,8.591238975524902,False,70.0,heterogeneous
C,4,0,0,0,2.6922214031219482,False,70.0,heterogeneous
C,4,1,0,0,3.919020891189575,False,70.0,heterogeneous
C,4,0,0,0,3.1759133338928223,False,70.0,heterogeneous
C,4,0,0,0,2.785515785217285,False,70.0,heterogeneous
C,4,0,0,0,3.0942203998565674,False,70.0,heterogeneous
A,4,4,10,0,20.68542766571045,False,70.0,heterogeneous
C,4,0,0,0,2.937528133392334,False,70.0,heterogeneous
B,4,0,0,0,1.2432780265808105,False,70.0,homogeneous
B,4,0,0,0,2.3036227226257324,False,70.0,homogeneous
B,4,0,0,0,1.2069501876831055,False,70.0,homogeneous
B,4,0,0,0,1.6899197101593018,False,70.0,homogeneous
B,4,0,0,0,1.1729648113250732,False,70.0,homogeneous
B,4,0,0,0,1.3815886974334717,False,70.0,homogeneous
B,4,0,0,0,1.569415807723999,False,70.0,homogeneous
B,4,0,0,0,2.4824414253234863,False,70.0,homogeneous
C,4,0,0,0,3.916779041290283,False,70.0,heterogeneous
C,4,2,0,0,4.002859115600586,False,70.0,baseline
C,4,1,0,0,4.536025762557983,False,70.0,baseline
C,4,1,0,0,3.2268075942993164,False,70.0,baseline
C,4,0,0,0,4.770967721939087,False,70.0,baseline
C,4,0,0,0,4.337108612060547,False,70.0,baseline
C,4,0,0,0,4.86637806892395,False,70.0,baseline
C,4,0,0,0,2.2180488109588623,False,70.0,homogeneous
C,4,0,0,0,3.2041335105895996,False,70.0,homogeneous
C,4,0,0,0,2.876282215118408,False,70.0,homogeneous
A,4,0,10,0,2.828953742980957,False,70.0,heterogeneous
A,4,5,10,0,8.352968215942383,False,70.0,heterogeneous
A,4,6,10,0,11.028524398803711,True,70.0,heterogeneous
C,4,0,0,0,2.7649343013763428,False,70.0,heterogeneous
C,4,0,0,0,3.1439173221588135,False,70.0,heterogeneous
C,4,0,0,0,2.81034517288208,False,70.0,heterogeneous
